trip_idx,distance
133,232.45600000000002
134,141.89
135,292.706
136,2399.237
137,184.801
138,554.052
139,972.1130000000002
140,1020.4150000000001
141,629.366
142,158.40200000000002
143,323.372
144,201.177
145,241.642
146,528.361
147,341.602
148,165.028
149,300.78499999999997
150,406.641
151,150.083
152,264.701
153,331.84900000000005
154,108.186
155,196.666
156,106.36699999999999
157,183.13100000000003
158,248.477
159,100.55099999999999
160,958.2159999999999
161,1127.073
162,741.218
163,605.8330000000002
164,376.9700000000001
165,1038.8909999999998
166,1542.26
167,733.288
168,126.78
169,322.67
170,170.05599999999998
171,203.15699999999998
172,692.2790000000001
173,155.607
174,330.83299999999997
175,847.24
176,247.581
177,375.117
178,110.32400000000001
179,204.369
180,587.506
181,217.23600000000002
182,1237.3580000000002
183,1117.6750000000002
184,368.86400000000003
185,712.2030000000001
186,1888.1420000000003
187,228.876
188,122.89800000000001
189,1142.143
190,1279.344
191,560.981
192,1303.2700000000002
193,886.4100000000001
194,843.151
195,1068.6209999999999
196,257.21
197,255.556
198,435.188
199,126.601
200,840.2020000000001
201,265.144
202,738.977
203,264.444
204,237.06900000000002
205,258.14200000000005
206,199.18
207,689.98
208,430.461
209,757.7190000000002
210,448.043
211,207.63299999999998
212,950.1970000000002
213,893.651
214,253.336
215,787.7070000000001
216,495.21400000000006
217,111.76899999999999
218,486.753
219,136.823
220,692.5649999999998
221,162.81
222,1075.626
223,795.591
224,522.7700000000001
225,611.228
226,275.28
227,237.06900000000002
228,245.137
229,660.9610000000001
230,264.471
231,991.588
232,1197.7580000000003
233,331.26300000000003
234,127.45500000000001
235,327.767
236,162.11599999999999
237,277.99800000000005
238,194.38
239,337.34
240,157.02800000000002
241,769.4869999999999
242,1009.8810000000002
243,766.5389999999999
244,189.589
245,1252.3849999999998
246,221.67100000000005
247,724.618
248,126.78
249,457.659
250,1157.739
251,1090.002
252,1074.211
253,255.334
254,312.14799999999997
255,425.19699999999995
256,109.92099999999999
257,346.757
258,275.483
259,291.34000000000003
260,633.65
261,376.668
262,123.78599999999999
263,857.753
264,282.82800000000003
265,219.709
266,802.9889999999998
267,586.601
268,259.25
269,343.57300000000004
270,813.345
271,704.0590000000001
272,1181.045
273,543.105
274,697.777
275,892.5719999999999
276,660.0040000000001
277,288.274
278,380.88700000000006
279,1172.1100000000001
280,833.508
281,522.77
282,810.492
283,757.5850000000002
284,562.8340000000001
285,278.269
286,221.67100000000002
287,141.03900000000002
288,357.134
289,188.71699999999998
290,798.9390000000001
291,505.7140000000001
292,263.104
293,415.338
294,587.451
295,823.558
296,892.63
297,505.7140000000001
298,623.2909999999999
299,494.365
300,869.222
301,865.7599999999999
302,816.6640000000001
303,245.90300000000002
304,505.7140000000001
305,330.457
306,629.638
307,104.993
308,687.6390000000001
309,1024.8970000000002
310,465.126
311,245.63
312,126.936
313,212.711
314,268.841
315,667.0269999999999
316,576.2680000000001
317,544.2660000000001
318,274.87600000000003
319,160.91199999999998
320,617.001
321,296.67400000000004
322,711.8209999999999
323,430.72700000000003
324,125.33599999999998
325,566.055
326,491.205
327,160.38400000000001
328,325.38800000000003
329,187.517
330,510.19599999999997
331,199.189
332,672.941
333,849.448
334,199.386
335,249.31499999999997
336,153.634
337,706.9939999999999
338,157.02800000000002
339,206.753
340,578.7860000000001
341,755.663
342,156.952
343,865.347
344,184.846
345,234.27500000000003
346,449.33299999999997
347,491.205
348,648.338
349,620.4559999999999
350,913.5620000000001
351,1327.5040000000001
352,372.36600000000004
353,735.801
354,773.971
355,378.07099999999997
356,737.328
357,625.8770000000001
358,525.539
359,302.48999999999995
360,309.428
361,237.524
362,866.2279999999998
363,616.563
364,186.72
365,230.556
366,153.355
367,1103.684
368,603.08
369,797.0250000000001
370,809.9100000000002
371,354.8140000000001
372,167.194
373,1026.9730000000002
374,244.172
375,241.42299999999997
376,905.0520000000001
377,734.21
378,1354.0999999999997
379,886.8699999999999
380,611.0340000000001
381,339.31100000000004
382,1033.3339999999998
383,189.28199999999995
384,152.074
385,1146.6710000000003
386,195.07899999999998
387,151.68200000000002
388,256.252
389,357.717
390,608.002
391,544.7560000000001
392,610.566
393,505.7140000000001
394,309.428
395,179.871
396,272.323
397,609.787
398,188.7
399,817.554
400,199.29899999999998
401,739.747
402,495.919
403,329.97200000000004
404,315.631
405,540.1759999999999
406,904.3080000000002
407,150.665
408,134.704
409,133.24
