,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
se_crosswalk_g,1.0017318454743618,1.657617350842796,2.1938056667343377,1.769673923072508,4.375130410351624,0.6504540262220659,1.1574859959660384,1.4363494807841475,1.5870326960146788,0.9197457061667667,5.376203698152545,2.149502285091695,0.9616983027471335,1.4021739459743419,1.0556653818552595,0.3747681532969002,0.65713897220626,4.633183965192334,4.340393748139085,0.24755479182288156,2.716069729730337
t_crosswalk_g,-0.8145980905700674,-0.5011957933720791,-0.38557619348611866,-0.4864186990742776,-0.19988145603368798,-1.3579152824588026,-0.7666111672448938,-0.6177667847053122,-0.5559798085576584,-0.9567575695343199,-0.16603263331396612,-0.4228911513680538,-0.9636566118065725,-0.6750138519069792,-0.9126258827753664,-2.614941457219568,-1.5154586801886096,-0.21699402917939473,-0.23218841847993252,-4.0806540785767185,-0.3756685374837186
b0_crosswalk_g,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
beta_sidewalklen_g,0.06161842535977908,0.06286648816381896,0.06407950738982982,0.06532363233087776,0.06660276722916401,0.06779561828196187,0.06891662943090322,0.07079797509843082,0.07401320810179957,0.07639131820963294,0.077591418671273,0.07909814943732842,0.08011850616769779,0.0805238837029901,0.08095119757459651,0.08085682588398593,0.0804430869707108,0.08036150630946376,0.0807799239430728,0.08118741749115113,0.08127404818740627
se_sidewalklen_g,0.23505240603214525,0.10591420469778287,0.06937051946114124,0.3011621858088433,0.058674723287209817,0.04520716007192851,0.17761305628470012,0.046811380728962765,0.214274571166348,0.17467524777607005,0.26364084688358463,0.40577202389056855,0.26363133569472047,0.10128088351180682,0.3928783565883884,0.08103989147764429,0.26955979858570694,0.10293286828025291,0.5467662202239983,0.03206223031346744,0.0962768126648444
t_sidewalklen_g,0.26214760529340114,0.5935604987376633,0.9237282333704413,0.2169051607705512,1.1351185569831632,1.4996654993167713,0.3880155596243733,1.5124094610314978,0.34541293303693427,0.4373333897173856,0.29430727289969183,0.1949324861751932,0.3039035779133378,0.7950551072513405,0.20604646760780368,0.9977410434500784,0.298423902201922,0.7807176429851869,0.14774124837115762,2.532182468199947,0.8441705322166694
b0_sidewalklen_g,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beta_greenlen_l,0.09606055647799874,0.12025510614140246,0.1455828034646987,0.17120211437289462,0.19669945517896767,0.22073729381392487,0.24458309075353665,0.27011576799324893,0.29663376171155137,0.3241740515201023,0.3493982062031701,0.37090439393642327,0.38959079376205413,0.40719669598557817,0.42514954174123354,0.4417819138168428,0.45645159238592703,0.4706570101309247,0.4842860825964725,0.49531552364621784,0.5012446279647926
se_greenlen_l,2.0946599851232532,1.266298827286058,0.23637502678435177,0.9988219028284463,1.0373511701180933,1.148571348203357,0.7175175208059067,1.2819431098183878,0.32105781190718247,0.5382742859403646,0.33147036601133145,2.4369430527404172,0.9117540464449175,1.937889124083373,0.4557531457138404,2.011261024396132,1.3302585576637644,1.8610522008335073,1.262286193995772,3.4584950675840034,0.15283671474171834
t_greenlen_l,0.04585973721761166,0.09496581971818942,0.6158975651751737,0.17140404499349432,0.18961703697367513,0.19218422447957745,0.3408740325655379,0.21070807739004588,0.923926317037593,0.6022469584512486,1.0540858008140184,0.15220068171856946,0.4272981241828695,0.21012383573708499,0.9328504821954157,0.2196541913049227,0.34312998007512124,0.25289833886450475,0.38365790967218216,0.14321706810824797,3.2796087563898206
