WKT,fid,O,D,O_lat,O_lon,D_lat,D_lon,length,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green,bridge,tunnel,crosswalk,roof,river,D/H,gradient,maxspeed,O_altitude,D_altitude,green_g,green_l
"MULTILINESTRING ((139.6394192 35.4485805,139.6393679 35.4485144))",208,74,76,35.4485805,139.6394192,35.4485144,139.6393679,8.696,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0
"MULTILINESTRING ((139.6394192 35.4485805,139.639491 35.4485462,139.6404328 35.4480601,139.6404997 35.4480275))",209,74,116,35.4485805,139.6394192,35.4480275,139.6404997,115.596,5.0,25.4,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0043,0.0,2.5,3.0,0.0,0.0
"MULTILINESTRING ((139.6396606 35.4489136,139.6394564 35.4486307,139.6394192 35.4485805))",210,74,84,35.4485805,139.6394192,35.4489136,139.63966059999998,43.012,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0046,0.0,2.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6393679 35.4485144,139.6393291 35.4484627,139.639056 35.4480887,139.6390274 35.4480331))",214,76,122,35.4485144,139.6393679,35.44803310000001,139.6390274,61.83,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0065,0.0,2.5,2.9,0.0,0.0
"MULTILINESTRING ((139.6404587 35.4479659,139.6403902 35.4480014,139.6402509 35.4480724,139.6394399 35.4484783,139.6393679 35.4485144))",215,76,115,35.4485144,139.6393679,35.4479659,139.64045869999998,116.118,5.0,25.4,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0043,0.0,2.5,3.0,0.0,0.0
"MULTILINESTRING ((139.6415573 35.4473987,139.6414714 35.4474479,139.6405173 35.4479366,139.6404587 35.4479659))",216,77,115,35.4473987,139.64155730000002,35.4479659,139.64045869999998,117.831,5.0,25.4,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0034,0.0,3.4,3.0,0.0,0.0
"MULTILINESTRING ((139.6411739 35.446914,139.6415028 35.4473307,139.6415573 35.4473987))",218,77,124,35.4473987,139.64155730000002,35.446914,139.6411739,64.117,4.5,22.5,1,29.0,21.7,17.0,2.0,2,0,0,0,0,0.0,1.038461538,0.0031,50.0,3.4,3.2,0.0,0.0
"MULTILINESTRING ((139.6400379 35.4494167,139.6396606 35.4489136))",225,81,84,35.4494167,139.64003789999998,35.4489136,139.63966059999998,65.556,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0122,0.0,3.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6400379 35.4494167,139.6390322 35.4499024,139.6389804 35.4499275))",226,81,93,35.4494167,139.64003789999998,35.4499275,139.6389804,111.36399999999999,2.5,11.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0072,0.0,3.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6411288 35.4488948,139.6410759 35.448921,139.6400379 35.4494167))",227,81,243,35.4494167,139.64003789999998,35.4488948,139.64112880000002,114.598,2.5,11.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.006999999999999999,0.0,3.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6418629 35.4478035,139.6420303 35.448011,139.6422735 35.4483421))",231,83,242,35.4478035,139.6418629,35.448342100000005,139.64227350000002,70.514,5.0,22.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0028,40.0,3.0,2.8,0.0,0.0
"MULTILINESTRING ((139.6407474 35.4483686,139.6408061 35.4483398,139.6417988 35.4478362,139.6418629 35.4478035))",232,83,118,35.4478035,139.6418629,35.4483686,139.6407474,118.991,3.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0008,0.0,3.0,3.1,0.0,0.0
"MULTILINESTRING ((139.6396606 35.4489136,139.64069 35.4483949,139.6407474 35.4483686))",233,84,118,35.4489136,139.63966059999998,35.4483686,139.6407474,115.60799999999999,3.5,15.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0035,0.0,2.7,3.1,0.0,0.0
"MULTILINESTRING ((139.638609 35.4494474,139.6386623 35.4494188,139.6396606 35.4489136))",234,84,92,35.4489136,139.63966059999998,35.4494474,139.638609,112.238,3.5,15.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0018,0.0,2.7,2.5,0.0,0.0
"MULTILINESTRING ((139.6375386 35.4499881,139.6376153 35.449952,139.6385524 35.4494762,139.638609 35.4494474))",235,85,92,35.4499881,139.63753860000003,35.4494474,139.638609,114.092,3.5,15.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0009,0.0,2.4,2.5,0.0,0.0
"MULTILINESTRING ((139.6377259 35.4502085,139.6375386 35.4499881))",236,85,289,35.4499881,139.63753860000003,35.4502085,139.63772590000002,29.807,5.5,26.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,30.0,2.4,2.4,0.0,0.0
"MULTILINESTRING ((139.6379083 35.4504405,139.6377777 35.4502725,139.6377259 35.4502085))",239,87,289,35.450440500000006,139.63790830000002,35.4502085,139.63772590000002,30.636,5.5,26.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,30.0,2.4,2.4,0.0,0.0
"MULTILINESTRING ((139.6389804 35.4499275,139.6389222 35.4499558,139.6379756 35.4504086,139.6379083 35.4504405))",240,87,93,35.450440500000006,139.63790830000002,35.4499275,139.6389804,112.62700000000001,2.5,11.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0027,0.0,2.4,2.7,0.0,0.0
"MULTILINESTRING ((139.6345646 35.4456508,139.6343101 35.4454876))",241,88,281,35.4454876,139.6343101,35.44565080000001,139.6345646,29.34,7.0,20.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.017,0.0,1.8,1.3,0.0,0.0
"MULTILINESTRING ((139.6343101 35.4454876,139.6343612 35.4454289,139.6347819 35.4449459,139.6348471 35.4448707))",243,88,89,35.4454876,139.6343101,35.44487070000001,139.6348471,84.09399999999998,7.0,20.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0024,50.0,1.8,1.6,0.0,0.0
"MULTILINESTRING ((139.6348471 35.4448707,139.634903 35.4448064))",245,89,640,35.44487070000001,139.6348471,35.444806400000004,139.634903,8.761000000000001,7.0,20.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,50.0,1.6,1.6,0.0,0.0
"MULTILINESTRING ((139.6377081 35.4425527,139.6380263 35.4429528,139.6381336 35.4430769))",247,90,694,35.4425527,139.6377081,35.443076899999994,139.6381336,69.89,5.5,20.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0029,0.0,1.6,1.4,0.0,0.0
"MULTILINESTRING ((139.6362719 35.4436128,139.6364432 35.4434993,139.6366432 35.4433648,139.6370972 35.4430649,139.6371672 35.4430199,139.6373883 35.4428484,139.637568 35.4426783,139.6376246 35.4426237,139.6377081 35.4425527))",248,90,139,35.4425527,139.6377081,35.4436128,139.6362719,176.013,6.5,20.0,1,9.0,9.0,9.0,1.0,2,0,0,0,0,0.0,2.222222222,-0.0028,50.0,1.6,2.1,0.0,0.0
"MULTILINESTRING ((139.6387789 35.4496671,139.6386402 35.4494877,139.638609 35.4494474))",251,92,290,35.4494474,139.638609,35.449667100000006,139.6387789,28.873,5.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0069,0.0,2.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6387789 35.4496671,139.6389457 35.4498827,139.6389804 35.4499275))",253,93,290,35.4499275,139.6389804,35.449667100000006,139.6387789,34.228,5.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,0.0
"MULTILINESTRING ((139.6353657 35.4467721,139.635426 35.4467424,139.6361448 35.4463484,139.6362462 35.4462925))",282,107,108,35.446772100000004,139.6353657,35.4462925,139.6362462,95.954,3.5,12.0,1,28.0,28.0,28.0,2.0,0,0,0,0,0,0.0,0.428571429,0.0021,0.0,1.2,1.0,0.0,0.0
"MULTILINESTRING ((139.6355137 35.4470227,139.6353657 35.4467721))",283,107,299,35.446772100000004,139.6353657,35.4470227,139.6355137,30.923000000000002,6.0,18.0,1,28.0,24.0,20.0,2.0,2,0,0,0,0,0.0,0.75,0.0032,0.0,1.2,1.1,0.0,0.0
"MULTILINESTRING ((139.6364282 35.4465236,139.6362788 35.4463345,139.6362462 35.4462925))",285,108,298,35.4462925,139.6362462,35.446523600000006,139.63642819999998,30.531999999999996,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"MULTILINESTRING ((139.6382499 35.4451782,139.6384459 35.4454013))",286,109,307,35.4451782,139.6382499,35.4454013,139.6384459,30.506999999999998,4.5,15.0,1,25.0,18.0,13.0,2.0,2,0,0,0,0,0.0,0.833333333,-0.0033,0.0,0.9,1.0,1.0,0.0
"MULTILINESTRING ((139.6382499 35.4451782,139.638301 35.4451489,139.6392859 35.444601,139.6393434 35.4445699))",287,109,110,35.4451782,139.6382499,35.4445699,139.6393434,119.95,3.5,12.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0025,0.0,0.9,0.6,0.0,0.0
"MULTILINESTRING ((139.6393434 35.4445699,139.6395276 35.4447903))",288,110,308,35.4445699,139.6393434,35.4447903,139.63952759999998,29.649,4.5,22.5,1,31.0,31.0,31.0,1.0,2,0,0,0,0,0.0,0.725806452,0.0,50.0,0.6,0.6,0.0,0.0
"MULTILINESTRING ((139.6389566 35.4441017,139.6390144 35.4441715,139.6393434 35.4445699))",289,110,653,35.4445699,139.6393434,35.444101700000004,139.6389566,62.754,4.5,22.5,1,30.0,30.0,30.0,1.0,2,0,0,0,0,0.0,0.75,-0.0048,50.0,0.6,0.9,0.0,0.0
"MULTILINESTRING ((139.637826 35.4446659,139.637865 35.4447201))",290,111,654,35.4446659,139.637826,35.4447201,139.63786499999998,6.986000000000001,4.5,15.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-0.0143,0.0,0.8,0.9,0.0,0.0
"MULTILINESTRING ((139.637826 35.4446659,139.6377624 35.4447035,139.6375769 35.4448046))",291,111,310,35.4446659,139.637826,35.444804600000005,139.63757690000003,27.337,6.0,33.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,1.1,0.0,30.0,0.8,0.8,0.0,1.0
"MULTILINESTRING ((139.6389112 35.4440478,139.6387943 35.4441156,139.6378754 35.4446372,139.637826 35.4446659))",292,111,707,35.4446659,139.637826,35.44404779999999,139.6389112,119.95,6.0,33.0,1,45.0,31.0,17.0,2.0,2,0,0,0,0,0.0,1.064516129,-0.0008,30.0,0.8,0.9,0.0,0.0
"MULTILINESTRING ((139.6384459 35.4454013,139.6386639 35.4456488))",293,112,307,35.445648799999994,139.63866389999998,35.4454013,139.6384459,33.873000000000005,4.5,15.0,1,29.0,28.5,27.0,2.0,2,0,0,0,0,0.0,0.526315789,-0.003,0.0,0.9,1.0,1.0,0.0
"MULTILINESTRING ((139.6390996 35.4461509,139.6392828 35.4463603))",294,113,291,35.4461509,139.6390996,35.446360299999995,139.63928280000002,28.593000000000004,4.5,15.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0245,0.0,1.1,1.8,0.0,0.0
"MULTILINESTRING ((139.6394676 35.4465945,139.6395044 35.4466487,139.6397765 35.4470209))",295,114,128,35.44659450000001,139.6394676,35.4470209,139.63977649999998,55.058,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0163,0.0,2.2,3.1,0.0,0.0
"MULTILINESTRING ((139.6392828 35.4463603,139.6394288 35.4465375,139.6394676 35.4465945))",296,114,291,35.44659450000001,139.6394676,35.446360299999995,139.63928280000002,30.978,4.5,15.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0129,0.0,2.2,1.8,0.0,0.0
"MULTILINESTRING ((139.6404587 35.4479659,139.6404997 35.4480275))",297,115,116,35.4479659,139.64045869999998,35.4480275,139.6404997,7.792000000000001,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
"MULTILINESTRING ((139.6401142 35.4474854,139.6401437 35.4475291,139.640321 35.447757,139.6404179 35.4479046,139.6404587 35.4479659))",298,115,123,35.4479659,139.64045869999998,35.4474854,139.64011420000003,61.913999999999994,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0048,0.0,3.0,3.3,0.0,0.0
"MULTILINESTRING ((139.6404997 35.4480275,139.6405413 35.4480899,139.6407474 35.4483686))",299,116,118,35.4480275,139.6404997,35.4483686,139.6407474,44.075,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0023,0.0,3.0,3.1,0.0,0.0
"MULTILINESTRING ((139.6407474 35.4483686,139.6408673 35.4485333,139.6410959 35.4488473,139.6411288 35.4488948))",301,118,243,35.4483686,139.6407474,35.4488948,139.64112880000002,67.95100000000001,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0059,0.0,3.1,2.7,0.0,0.0
"MULTILINESTRING ((139.6374322 35.4488343,139.6369543 35.4490781,139.6369072 35.449102,139.6368549 35.4491284))",305,120,658,35.4491284,139.6368549,35.4488343,139.6374322,61.677,4.5,14.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0049,0.0,2.1,2.4,0.0,0.0
"MULTILINESTRING ((139.6379704 35.448563,139.6378717 35.4486139,139.6374322 35.4488343))",306,121,658,35.448563,139.6379704,35.4488343,139.6374322,57.331,4.5,14.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0017,0.0,2.5,2.4,0.0,0.0
"MULTILINESTRING ((139.6376326 35.4481189,139.6376645 35.4481615,139.6379382 35.4485212,139.6379704 35.448563))",307,121,126,35.448563,139.6379704,35.448118900000004,139.6376326,58.093999999999994,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0034,0.0,2.5,2.7,0.0,0.0
"MULTILINESTRING ((139.6390274 35.4480331,139.6389609 35.4480712,139.6380807 35.4485075,139.6379704 35.448563))",308,121,122,35.448563,139.6379704,35.44803310000001,139.6390274,112.44,3.5,11.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0036,0.0,2.5,2.9,0.0,0.0
"MULTILINESTRING ((139.6390274 35.4480331,139.638683 35.4475826))",309,122,127,35.44803310000001,139.6390274,35.4475826,139.63868300000001,59.013999999999996,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0051,0.0,2.9,2.6,0.0,0.0
"MULTILINESTRING ((139.6401142 35.4474854,139.640067 35.4475131,139.6390831 35.4480017,139.6390274 35.4480331))",310,122,123,35.44803310000001,139.6390274,35.4474854,139.64011420000003,115.786,3.5,11.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0035,0.0,2.9,3.3,0.0,0.0
"MULTILINESTRING ((139.6411739 35.446914,139.6411158 35.4469426,139.6401576 35.4474582,139.6401142 35.4474854))",311,123,124,35.4474854,139.64011420000003,35.446914,139.6411739,115.133,3.5,11.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0009,0.0,3.3,3.2,0.0,0.0
"MULTILINESTRING ((139.6397765 35.4470209,139.6400852 35.4474404,139.6401142 35.4474854))",312,123,128,35.4474854,139.64011420000003,35.4470209,139.63977649999998,60.037,4.5,15.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0033,0.0,3.3,3.1,0.0,0.0
"MULTILINESTRING ((139.6376326 35.4481189,139.6377447 35.4480614,139.6379118 35.4479762,139.638683 35.4475826))",314,126,127,35.448118900000004,139.6376326,35.4475826,139.63868300000001,112.29299999999999,4.0,13.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0009,0.0,2.7,2.6,0.0,0.0
"MULTILINESTRING ((139.637096 35.4483899,139.6375246 35.448174,139.6376326 35.4481189))",315,126,657,35.448118900000004,139.6376326,35.448389899999995,139.63709599999999,57.19,4.0,13.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0035,0.0,2.7,2.5,0.0,0.0
"MULTILINESTRING ((139.638683 35.4475826,139.6397249 35.447047,139.6397765 35.4470209))",316,127,128,35.4475826,139.63868300000001,35.4470209,139.63977649999998,117.102,4.0,13.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0043,0.0,2.6,3.1,0.0,0.0
"MULTILINESTRING ((139.6362719 35.4436128,139.6363432 35.443645,139.6365283 35.4437211,139.6366247 35.4437734,139.636701 35.4438147))",347,138,139,35.443814700000004,139.636701,35.4436128,139.6362719,44.957,5.0,23.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,-0.0289,0.0,0.8,2.1,0.0,0.0
"MULTILINESTRING ((139.6369853 35.4441293,139.6368685 35.4439907,139.6368172 35.4439339,139.6367386 35.443849,139.636701 35.4438147))",348,138,724,35.443814700000004,139.636701,35.44412929999999,139.63698530000002,43.474,6.5,17.0,1,42.0,42.0,42.0,1.0,2,0,0,0,0,0.0,0.404761905,-0.0046,0.0,0.8,1.0,0.0,0.0
"MULTILINESTRING ((139.634903 35.4448064,139.6349483 35.4447533,139.6350482 35.4446393,139.6354072 35.4442899,139.6357989 35.4439631,139.6361886 35.4436684,139.6362719 35.4436128))",349,139,640,35.4436128,139.6362719,35.444806400000004,139.634903,182.142,7.0,20.0,1,4.0,4.0,4.0,1.0,2,0,0,0,0,0.0,5.0,0.0027,50.0,2.1,1.6,0.0,0.0
"MULTILINESTRING ((139.6422735 35.4483421,139.6422131 35.4483701,139.6411842 35.4488678,139.6411288 35.4488948))",583,242,243,35.448342100000005,139.64227350000002,35.4488948,139.64112880000002,120.537,2.5,11.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0008,0.0,2.8,2.7,0.0,0.0
"MULTILINESTRING ((139.634685 35.4457588,139.6346396 35.44571,139.6346143 35.4456828,139.6345646 35.4456508))",640,281,305,35.44565080000001,139.6345646,35.4457588,139.63468500000002,16.343,10.5,37.0,1,76.0,43.8,31.0,2.0,2,0,0,0,0,0.0,0.845714286,-0.0245,0.0,1.3,1.7,0.0,0.0
"MULTILINESTRING ((139.6387789 35.4496671,139.6387357 35.4496893,139.6377803 35.4501792,139.6377259 35.4502085))",651,289,290,35.4502085,139.63772590000002,35.449667100000006,139.6387789,112.79299999999999,5.0,5.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0027,0.0,2.4,2.7,0.0,0.0
"MULTILINESTRING ((139.6403138 35.4458063,139.6402583 35.445823,139.6393267 35.4463371,139.6392828 35.4463603))",652,291,293,35.446360299999995,139.63928280000002,35.445806299999994,139.6403138,112.029,4.0,4.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0054,0.0,1.8,1.2,0.0,0.0
"MULTILINESTRING ((139.6382267 35.4469414,139.6392346 35.4463834,139.6392828 35.4463603))",653,291,292,35.446360299999995,139.63928280000002,35.4469414,139.6382267,115.455,4.0,4.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0026,0.0,1.8,2.1,0.0,0.0
"MULTILINESTRING ((139.637392 35.445988,139.6365183 35.4464723,139.6364282 35.4465236))",660,298,300,35.446523600000006,139.63642819999998,35.445988,139.637392,105.68700000000001,5.0,5.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0028,0.0,1.0,1.3,0.0,0.0
"MULTILINESTRING ((139.6355137 35.4470227,139.6355658 35.4470029,139.6363314 35.4465797,139.6364282 35.4465236))",661,298,299,35.446523600000006,139.63642819999998,35.4470227,139.6355137,99.779,5.0,5.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.001,0.0,1.0,1.1,0.0,0.0
"MULTILINESTRING ((139.6384459 35.4454013,139.6383987 35.445427,139.637392 35.445988))",663,300,307,35.445988,139.637392,35.4454013,139.6384459,115.631,5.0,5.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0026,0.0,1.3,1.0,0.0,0.0
"MULTILINESTRING ((139.6365325 35.4450461,139.636329 35.4448359))",665,303,306,35.4448359,139.63632900000002,35.4450461,139.6365325,29.768,3.5,13.0,1,19.0,15.0,10.0,2.0,2,0,0,0,0,0.0,0.8666666670000001,0.0067,0.0,1.1,0.9,0.0,0.0
"MULTILINESTRING ((139.6361269 35.4446182,139.6362881 35.4447919,139.636329 35.4448359))",666,303,725,35.4448359,139.63632900000002,35.4446182,139.63612690000002,30.351,8.5,19.0,1,63.0,29.0,7.0,2.0,1,0,0,0,0,0.0,0.655172414,-0.0099,0.0,1.1,1.4,0.0,0.0
"MULTILINESTRING ((139.636329 35.4448359,139.6363946 35.4447995,139.6371398 35.4443881,139.6371857 35.4443588))",667,303,706,35.4448359,139.63632900000002,35.44435880000001,139.63718569999997,94.01799999999999,3.0,10.0,1,39.0,26.0,19.0,2.0,0,0,0,0,0,0.0,0.384615385,0.0,0.0,1.1,1.1,0.0,0.0
"MULTILINESTRING ((139.6354887 35.4453073,139.6355569 35.4452714,139.636329 35.4448359))",668,303,634,35.4448359,139.63632900000002,35.44530730000001,139.6354887,92.427,4.0,10.5,1,63.0,39.7,8.0,2.0,0,0,0,0,0,0.0,0.264388489,-0.0011,0.0,1.1,1.2,0.0,0.0
"MULTILINESTRING ((139.634685 35.4457588,139.6347617 35.4457162,139.6353511 35.445389,139.6354147 35.4453537))",669,304,305,35.4453537,139.63541469999998,35.4457588,139.63468500000002,79.98999999999998,4.0,10.5,1,37.0,26.3,9.0,2.0,0,0,0,0,0,0.0,0.398734177,-0.005,0.0,1.3,1.7,0.0,0.0
"MULTILINESTRING ((139.6373722 35.4445725,139.6373179 35.4446042,139.6365783 35.4450203,139.6365325 35.4450461))",670,306,309,35.4450461,139.6365325,35.4445725,139.6373722,92.51799999999999,4.5,4.5,0,31.0,13.3,4.0,2.0,0,0,0,0,0,0.0,0.3375,-0.0022,0.0,0.9,1.1,0.0,0.0
"MULTILINESTRING ((139.6356883 35.4455146,139.6357274 35.4454928,139.6365325 35.4450461))",671,306,639,35.4450461,139.6365325,35.44551460000001,139.63568830000003,92.53200000000001,4.5,4.5,0,31.0,17.2,4.0,2.0,0,0,0,0,0,0.0,0.261818182,-0.0011,0.0,0.9,1.0,0.0,0.0
"MULTILINESTRING ((139.6395276 35.4447903,139.6394766 35.4448195,139.6384917 35.4453754,139.6384459 35.4454013))",672,307,308,35.4454013,139.6384459,35.4447903,139.63952759999998,119.23700000000001,5.5,5.5,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0034,0.0,1.0,0.6,0.0,0.0
"MULTILINESTRING ((139.6373722 35.4445725,139.6371857 35.4443588))",673,309,706,35.4445725,139.6373722,35.44435880000001,139.63718569999997,29.156,6.5,17.0,1,19.0,19.0,19.0,1.0,0,0,0,0,0,0.0,0.894736842,0.0,0.0,1.1,1.1,0.0,0.0
"MULTILINESTRING ((139.6375769 35.4448046,139.6375325 35.4447526,139.637441 35.4446533,139.6373722 35.4445725))",674,309,310,35.4445725,139.6373722,35.444804600000005,139.63757690000003,31.785,6.5,17.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0094,0.0,1.1,0.8,0.0,0.0
"MULTILINESTRING ((139.6354887 35.4453073,139.6352648 35.4451045,139.6352312 35.4450741,139.6352138 35.4450583))",1097,634,642,35.44530730000001,139.6354887,35.4450583,139.6352138,37.239000000000004,5.0,24.0,1,34.0,16.7,7.0,2.0,2,0,0,0,0,0.0,1.44,-0.0054,50.0,1.2,1.4,0.0,0.0
"MULTILINESTRING ((139.6356883 35.4455146,139.6354887 35.4453073))",1098,634,639,35.44530730000001,139.6354887,35.44551460000001,139.63568830000003,29.296,5.0,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0068,50.0,1.2,1.0,0.0,0.0
"MULTILINESTRING ((139.635873 35.4457381,139.635805 35.4456559,139.6356883 35.4455146))",1105,639,645,35.44551460000001,139.63568830000003,35.4457381,139.635873,29.959,5.0,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0033,50.0,1.0,1.1,0.0,0.0
"MULTILINESTRING ((139.6352138 35.4450583,139.6351914 35.4450401,139.6351569 35.4450121,139.634903 35.4448064))",1106,640,642,35.444806400000004,139.634903,35.4450583,139.6352138,39.714,5.0,24.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.005,50.0,1.6,1.4,0.0,0.0
"MULTILINESTRING ((139.635873 35.4457381,139.6357839 35.4457953))",1109,645,647,35.4457381,139.635873,35.4457953,139.6357839,10.276,6.0,33.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-0.0195,0.0,1.1,1.3,0.0,0.0
"MULTILINESTRING ((139.6359145 35.4457963,139.635873 35.4457381))",1110,645,648,35.4457381,139.635873,35.4457963,139.6359145,7.484,5.0,24.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-0.0267,50.0,1.1,1.3,0.0,0.0
"MULTILINESTRING ((139.6359145 35.4457963,139.6360464 35.4457269,139.6367893 35.4453217))",1111,648,652,35.4457963,139.6359145,35.4453217,139.6367893,95.211,6.0,33.0,1,31.0,30.0,29.0,2.0,2,0,0,0,0,0.0,1.1,0.0011,30.0,1.3,1.2,0.0,0.0
"MULTILINESTRING ((139.6359477 35.4459258,139.6359145 35.4457963))",1112,648,649,35.4457963,139.6359145,35.4459258,139.6359477,14.71,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0204,0.0,1.3,1.0,0.0,0.0
"MULTILINESTRING ((139.6367893 35.4453217,139.6378028 35.4447525,139.637865 35.4447201))",1114,652,654,35.4453217,139.6367893,35.4447201,139.63786499999998,118.20100000000001,6.0,33.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,1.1,0.0025,30.0,1.2,0.9,0.0,1.0
"MULTILINESTRING ((139.637865 35.4447201,139.6379187 35.4446908,139.638837 35.4441662,139.638925 35.4441186,139.6389566 35.4441017))",1116,653,654,35.444101700000004,139.6389566,35.4447201,139.63786499999998,120.449,6.0,33.0,1,45.0,31.0,17.0,2.0,2,0,0,0,0,0.0,1.064516129,0.0,30.0,0.9,0.9,0.0,0.0
"MULTILINESTRING ((139.6389112 35.4440478,139.6389349 35.4440759,139.6389566 35.4441017))",1117,653,707,35.444101700000004,139.6389566,35.44404779999999,139.6389112,7.269,5.5,23.7,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,50.0,0.9,0.9,0.0,0.0
