WKT,fid,O,D,O_lat,O_lon,D_lat,D_lon,length,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green,bridge,tunnel,crosswalk,roof,river,D/H,gradient,maxspeed,O_altitude,D_altitude,green_g,green_l
"MULTILINESTRING ((139.6377905 35.4493185,139.6373396 35.4495518,139.6372259 35.449606))",1277,659,27,35.4493185,139.6377905,35.44960600000001,139.6372259,60.318999999999996,4.8,25.8,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0017,0.0,2.4,2.3,0.0,0.0
"MULTILINESTRING ((139.6350535 35.4462722,139.6350275 35.4462183))",1307,621,37,35.44627220000001,139.6350535,35.4462183,139.63502749999998,6.44,6.0,15.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0
"MULTILINESTRING ((139.6357839 35.4457953,139.6356684 35.4458599,139.6351246 35.446164,139.6350275 35.4462183))",1308,647,37,35.4457953,139.6357839,35.4462183,139.63502749999998,83.11,6.0,33.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0012,0.0,1.3,1.2,0.0,0.0
"MULTILINESTRING ((139.6400763 35.4454783,139.6401422 35.4455734))",1321,69,41,35.4455734,139.64014219999999,35.4454783,139.6400763,12.142999999999999,4.5,22.5,1,38.0,22.7,30.0,2.0,2,0,0,0,0,0.0,0.992647059,0.0165,0.0,0.9,0.7,0.0,0.0
"MULTILINESTRING ((139.6408424 35.4464846,139.6408839 35.4465347,139.6411739 35.446914))",1340,124,51,35.446914,139.6411739,35.446484600000005,139.64084240000003,56.409,4.5,22.5,1,54.0,40.5,27.0,2.0,2,0,0,0,0,0.0,0.5555555560000001,0.0071,0.0,3.2,2.8,0.0,0.0
"MULTILINESTRING ((139.6405095 35.4460537,139.6407984 35.4464297,139.6408424 35.4464846))",1341,68,51,35.4460537,139.6405095,35.446484600000005,139.64084240000003,56.61600000000001,5.0,22.5,1,31.0,16.3,6.0,2.0,2,0,0,0,0,0.0,1.37755102,-0.0194,0.0,1.7,2.8,0.0,0.0
"MULTILINESTRING ((139.6397765 35.4470209,139.6398282 35.4469952,139.6407847 35.4465113,139.6408424 35.4464846))",1342,128,51,35.4470209,139.63977649999998,35.446484600000005,139.64084240000003,113.49,4.0,13.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0026,0.0,3.1,2.8,0.0,0.0
"MULTILINESTRING ((139.6405095 35.4460537,139.6404518 35.4460856,139.6395214 35.4465664,139.6394676 35.4465945))",1390,114,68,35.44659450000001,139.6394676,35.4460537,139.6405095,111.914,7.5,19.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0045,0.0,2.2,1.7,0.0,0.0
"MULTILINESTRING ((139.6403138 35.4458063,139.6405095 35.4460537))",1391,293,68,35.445806299999994,139.6403138,35.4460537,139.6405095,32.727,4.5,22.5,1,9.0,7.5,6.0,2.0,2,0,0,0,0,0.0,3.0,-0.0153,0.0,1.2,1.7,0.0,0.0
"MULTILINESTRING ((139.6401422 35.4455734,139.6401704 35.4456148,139.6403138 35.4458063))",1392,293,69,35.445806299999994,139.6403138,35.4455734,139.64014219999999,30.208000000000002,4.5,22.5,1,30.0,22.3,13.0,2.0,2,0,0,0,0,0.0,1.011235955,0.0099,0.0,1.2,0.9,0.0,0.0
