trip_id,link_id,monitor_id,prev_trip_id,mode,purpose,link_length
489,1639,6011,41796,100,200,50
489,1596,6011,41796,100,200,50
489,399,6011,41796,100,200,50
490,399,6011,41871,100,700,50
490,1662,6011,41871,100,700,50
490,1659,6011,41871,100,700,50
490,1652,6011,41871,100,700,50
490,452,6011,41871,100,700,50
490,1145,6011,41871,100,700,50
490,1645,6011,41871,100,700,50
490,447,6011,41871,100,700,50
490,448,6011,41871,100,700,50
490,1326,6011,41871,100,700,50
490,126,6011,41871,100,700,50
490,1323,6011,41871,100,700,50
490,125,6011,41871,100,700,50
490,129,6011,41871,100,700,50
491,129,6011,41871,100,700,50
491,131,6011,41871,100,700,50
491,133,6011,41871,100,700,50
491,135,6011,41871,100,700,50
491,1335,6011,41871,100,700,50
491,1254,6011,41871,100,700,50
491,1214,6011,41871,100,700,50
491,13,6011,41871,100,700,50
493,87,6011,41871,100,700,50
493,1080,6011,41871,100,700,50
494,87,6011,41871,100,700,50
494,1080,6011,41871,100,700,50
501,87,6011,42876,100,210,50
501,1080,6011,42876,100,210,50
502,1080,6011,42876,100,210,50
502,1084,6011,42876,100,210,50
502,1458,6011,42876,100,210,50
502,260,6011,42876,100,210,50
502,1457,6011,42876,100,210,50
502,257,6011,42876,100,210,50
502,264,6011,42876,100,210,50
502,2330,6011,42876,100,210,50
502,1274,6011,42876,100,210,50
502,1268,6011,42876,100,210,50
502,70,6011,42876,100,210,50
502,235,6011,42876,100,210,50
502,1437,6011,42876,100,210,50
502,239,6011,42876,100,210,50
502,251,6011,42876,100,210,50
502,1409,6011,42876,100,210,50
502,211,6011,42876,100,210,50
502,1215,6011,42876,100,210,50
502,1212,6011,42876,100,210,50
502,15,6011,42876,100,210,50
502,56,6011,42876,100,210,50
502,57,6011,42876,100,210,50
502,113,6011,42876,100,210,50
502,1815,6011,42876,100,210,50
504,439,6011,42928,100,200,50
504,579,6011,42928,100,200,50
504,1874,6011,42928,100,200,50
504,1779,6011,42928,100,200,50
504,1643,6011,42928,100,200,50
504,1592,6011,42928,100,200,50
504,394,6011,42928,100,200,50
504,397,6011,42928,100,200,50
505,396,6011,42928,100,200,50
505,1649,6011,42928,100,200,50
505,1326,6011,42928,100,200,50
508,1323,6011,42990,100,700,50
508,1321,6011,42990,100,700,50
508,123,6011,42990,100,700,50
523,1490,6011,42990,100,700,50
523,290,6011,42990,100,700,50
523,1398,6011,42990,100,700,50
523,198,6011,42990,100,700,50
523,1108,6011,42990,100,700,50
523,1307,6011,42990,100,700,50
845,87,6030,36161,100,200,50
845,1080,6030,36161,100,200,50
885,1080,6030,36161,100,200,50
885,1084,6030,36161,100,200,50
885,261,6030,36161,100,200,50
886,1084,6030,36161,100,200,50
899,1080,6030,36161,100,200,50
919,87,6030,39040,100,210,50
919,1080,6030,39040,100,210,50
920,1080,6030,39040,100,210,50
920,1084,6030,39040,100,210,50
920,261,6030,39040,100,210,50
926,1084,6030,39040,100,210,50
935,984,6030,39040,100,210,50
935,1368,6030,39040,100,210,50
935,168,6030,39040,100,210,50
935,1287,6030,39040,100,210,50
935,87,6030,39040,100,210,50
937,87,6030,39040,100,210,50
937,1080,6030,39040,100,210,50
1018,1269,6039,36681,100,500,50
1018,71,6039,36681,100,500,50
1018,237,6039,36681,100,500,50
1018,1131,6039,36681,100,500,50
1100,88,6039,41876,100,500,50
1100,1367,6039,41876,100,500,50
1108,2347,6042,37581,100,600,50
1108,1871,6042,37581,100,600,50
1108,673,6042,37581,100,600,50
1108,1489,6042,37581,100,600,50
1108,291,6042,37581,100,600,50
1112,247,6042,37581,100,600,50
1112,1545,6042,37581,100,600,50
1112,347,6042,37581,100,600,50
1149,211,6042,45680,100,600,50
1175,87,6043,35965,100,100,50
1175,1080,6043,35965,100,100,50
1175,1083,6043,35965,100,100,50
